,0,1,2,3,4,5
Rated 1: Treated,0.028571429,0.457142857,0.314285714,0.171428571,0.028571429,0
Rated 1: Untreated,0.071428571,0.285714286,0.535714286,0.071428571,0,0.035714286
Rated 2: Treated,0.027027027,0.064864865,0.518918919,0.372972973,0.005405405,0.010810811
Rated 2: Untreated,0,0.090361446,0.686746988,0.210843373,0,0.012048193
Rated 3: Treated,0.001949318,0.013645224,0.152046784,0.801169591,0.029239766,0.001949318
Rated 3: Untreated,0,0.01369863,0.191780822,0.780821918,0.006849315,0.006849315
Rated 4: Treated,0,0,0.037037037,0.777777778,0.185185185,0
Rated 4: Untreated,0,0,0.6,0,0.4,0
Rated 5: Treated,0.019230769,0.038461538,0.192307692,0.230769231,0.192307692,0.326923077
Rated 5: Untreated,0,0,0.338709677,0.080645161,0.096774194,0.483870968