Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
4016,3,2.2,2,-1.0,1,0.2,1,-1,0,,0,,0,,0,,0,,0,,0,
4017,2,0.3,2,-1.0,,,0,,0,,0,,0,,0,,0,,0,,0,
5061,5,0.7,5,0.8,5,1.0,4,1.1,2,-1.0,0,,0,,0,,0,,0,,0,
16,3,40.9,3,41.0,3,41.1,0,,0,,0,,0,,0,,0,,0,,0,
30,2,-1.0,2,-1.0,,0.3,1,-1,0,,0,,0,,0,,0,,0,,0,
31,2,1.0,2,0.7,,,0,,0,,0,,0,,0,,0,,0,,0,
191,2,0.7,2,1.3,1,,0,,0,,0,,0,,0,,0,,0,,0,
193,3,7.4,3,7.8,,,0,,0,,0,,0,,0,,0,,0,,0,
959,2,1.0,2,1.1,,,0,,0,,0,,0,,0,,0,,0,,0,
5059,5,0.5,5,0.6,,,0,,0,,0,,0,,0,,0,,0,,0,
41,3,29.0,3,29.2,,,0,,0,,0,,0,,0,,0,,0,,0,
57,3,31.4,3,31.4,,,1,-1,0,,0,,0,,0,,0,,0,,0,
76,3,46.2,3,48.8,,,0,,0,,0,,0,,0,,0,,0,,0,
155,3,38.1,3,38.2,,,0,,0,,0,,0,,0,,0,,0,,0,
190,2,26.9,0,0.0,,,0,,0,,0,,0,,0,,0,,0,,0,
306,2,0.3,2,0.9,,,0,,0,,0,,0,,0,,0,,0,,0,
362,2,1.0,2,1.0,,,0,,0,,0,,0,,0,,0,,0,,0,
4014,3,5.1,5,5.6,2,5.6,0,-1.0,0,,0,,0,,0,,0,,0,,0,
94,,,2,2.2,5,2.3,0,,0,,0,,0,,0,,0,,0,,0,
442,3,21.6,2,0.6,,,0,,0,,0,,0,,0,,0,,0,,0,
449,2,1.2,2,1.3,,,0,,0,,0,,0,,0,,0,,0,,0,
3008,2,10.7,2,0.2,,,0,,0,,0,,0,,0,,0,,0,,0,
4019,2,11.4,2,11.9,1,0.3,,-1,0,,0,,0,,0,,0,,0,,0,
377,2,10.2,2,0.3,,,0,,0,,0,,0,,0,,0,,0,,0,
396,2,5.8,2,0.4,,,0,,0,,0,,0,,0,,0,,0,,0,
1578,2,23.1,2,24.4,2,25.0,0,,0,,0,,0,,0,,0,,0,,0,
169,2,0.1,2,-1.0,,,0,,0,,0,,0,,0,,0,,0,,0,
513,2,36.1,2,58.1,2,38.4,2,-1,0,,0,,0,,0,,0,,0,,0,
515,2,3.0,0,0.0,,,0,,0,,0,,0,,0,,0,,0,,0,
2100,2,7.9,2,-1.0,,,0,,0,,0,,0,,0,,0,,0,,0,
2117,5,9.9,2,9.8,1,10.0,0,,0,,0,,0,,0,,0,,0,,0,
4050,5,3.7,2,3.7,,,0,,0,,0,,0,,0,,0,,0,,0,
5050,5,1.6,5,1.6,1,1.7,0,,0,,0,,0,,0,,0,,0,,0,
5056,5,1.3,5,1.3,5,1.4,,-1,2,-1.0,0,,0,,0,,0,,0,,0,
2022,2,8.3,2,-1.0,,,0,,0,,0,,0,,0,,0,,0,,0,
2036,2,39.6,2,40.5,2,40.7,2,40.4,0,,0,,0,,0,,0,,0,,0,
2313,5,14.5,5,14.5,2,14.4,2,1.0,0,,0,,0,,0,,0,,0,,0,
2531,2,24.4,2,24.5,2,24.3,2,-1.0,0,,0,,0,,0,,0,,0,,0,
5051,5,1.6,5,1.7,,,5,-1.0,,,,,,,,,,,,,,
5034,5,0.3,5,0.4,1,0.6,1,0.4,,,,,,,,,,,,,,
423,2,18.2,2,18.4,2,18.9,2,18.8,3,19.0,3,19.0,3,19.2,,,2,0.2,1,0.3,2,0.8
436,2,19.7,2,20.3,2,20.0,2,20.2,2,20.3,3,20.3,3,20.1,,,2,0.9,0,,0,
4052.1,2,27.2,2,27.8,2,27.5,2,27.6,3,27.9,3,28.1,3,27.7,,,3,29,3,30.1,2,28.7
4053.1,5,46.5,2,47.3,2,47.0,2,46.9,2,46.7,3,46.5,3,47.1,,,2,0.6,0,,,
4054.1,2,28.6,2,29.0,2,29.1,2,29.0,2,29.1,2,29.0,2,29.2,,,1,1.2,1,-1,0,
4055.1,5,45.6,5,46.0,2,46.5,2,46.3,3,45.9,3,45.6,3,45.7,3,1.4,2,1.5,2,1.8,2,0.5
4056.1,5,45.2,5,46.2,3,46.5,2,46.5,3,46.2,3,46.0,3,46.0,3,1.5,2,1.1,2,2,2,1.5
4057,5,11.7,5,11.8,5,12.1,2,12.4,3,12.6,3,12.7,3,13.4,3,15.4,3,14.1,3,15.3,3,15.4
4058.1,2,53.8,2,53.8,2,55.1,2,39.4,3,39.8,3,39.5,3,39.1,3,3.5,3,3.7,2,1.3,2,1.3
4059.1,2,18.3,5,18.5,2,18.6,2,18.7,3,18.8,3,18.7,3,18.9,3,17.5,2,1.3,2,3.3,1,3.8
4060.1,2,0.5,2,1.2,1,1.5,2,-1.0,3,1.1,3,1.0,3,0.3,3,0.8,2,,1,-1,2,-1
4061,5,24.6,5,24.9,5,25.2,2,25.2,3,25.4,3,25.4,3,25.6,3,25.4,2,25.8,2,1.7,2,0.2
4062,2,29.0,2,29.7,3,29.6,2,29.5,3,30.0,3,30.0,3,30.1,3,30.3,2,2.3,2,1.4,2,0.2
4063,2,23.5,2,24.0,3,22.8,2,22.7,3,23.2,3,23.5,3,23.6,3,24.1,2,24.1,2,1.6,2,1.8
4064,2,29.5,2,29.9,2,30.0,2,30.0,2,29.8,3,3.5,3,4.0,3,4.6,3,4.7,2,1.5,3,0.5
4065,5,42.4,5,43.3,4,43.5,2,43.2,3,44.5,3,45.2,3,45.8,3,1.5,2,0.5,2,1.1,2,-1
4066,5,6.5,2,6.9,5,7.1,5,7.5,3,8.8,3,9.2,3,9.6,3,10.6,3,9.9,2,1.7,2,1.7
4067,5,11.2,2,11.4,5,11.6,5,11.7,2,11.6,2,0.4,2,0.8,2,-1.0,3,0.3,0,,0,
4068,2,61.5,2,61.0,3,65.0,2,62.5,3,61.5,3,64.4,3,63.0,3,64.2,3,61.5,3,61.7,3,61.9
4069,2,46.2,2,47.9,5,64.5,3,49.2,2,50.5,3,50.0,3,49.6,3,49.6,3,49,1,2.6,2,3.4
4070,5,13.4,5,14.2,2,16.0,2,15.4,2,1.8,3,2.0,3,1.9,3,2.6,3,2.8,1,-1,2,0.3
4071,5,16.7,5,17.7,5,18.2,2,18.6,2,18.8,3,18.7,3,18.9,3,1.3,3,1.6,0,,0,
4072,5,7.7,5,8.1,5,8.3,5,8.3,2,9.2,3,9.0,3,9.0,3,9.1,3,9.2,1,0.5,2,0.2
4073,5,21.0,5,22.4,5,22.5,2,23.0,2,0.6,2,0.5,1,0.9,2,1,2,1.2,2,1.3,1,-1
29,3,26.9,3,27.5,3,27.5,4,0.3,2,1.0,1,0.6,1,0.7,3,0.8,2,0.9,1,0.9,0,
34,3,51.3,3,52.4,3,51.8,3,52.8,3,54.0,3,53.7,3,54.4,3,56,3,54.2,3,56,3,54.9
38,,,,,3,40.2,3,38.2,3,39.3,3,38.5,3,39.2,3,39.6,3,41.7,3,40.7,3,39.9
48,3,18.5,2,19.0,3,19.7,3,19.2,3,20.7,2,20.5,3,21.0,3,1.2,3,21.4,3,21.6,3,21
52,3,33.3,3,33.6,2,34.0,2,33.9,2,-1.0,0,,0,,0,,0,,0,,0,
53,,,,,2,33.0,2,18.0,2,1.0,2,0.5,2,0.5,3,,2,,0,,0,
54,1,20.3,3,20.6,3,20.9,3,21.2,3,22.4,3,22.7,3,23.0,3,23.2,3,23.8,3,25.5,3,23.7
62,3,34.0,3,34.7,3,34.8,3,35.2,3,37.8,3,36.5,3,36.6,3,37.4,3,37.3,2,1.9,2,37.5
63,,,,,3,44.1,2,43.6,3,45.0,3,43.4,3,43.7,3,45,3,43.2,2,,0,
64,3,49.3,2,50.9,3,51.1,3,50.9,3,51.5,3,51.4,3,51.4,3,52.3,3,51.4,2,0.8,3,51.5
65,3,32.3,3,33.1,3,32.5,2,32.5,3,32.7,3,33.0,3,33.0,4,33.1,3,31.3,2,2,2,2.7
66,3,36.3,4,36.9,4,38.0,4,38.0,3,34.8,3,40.3,3,40.5,3,41.2,2,41.5,2,42.5,2,41.4
70,3,42.7,3,44.3,,,3,45.0,3,48.9,3,49.8,3,51.4,3,53.5,3,54.9,3,56,3,56.1
77,3,40.1,3,41.5,3,41.7,2,40.5,3,40.7,3,39.5,1,,,,0,,3,42.3,3,39
79,3,39.9,3,40.5,3,40.5,2,40.2,3,40.6,3,41.4,3,41.4,3,41.5,2,41.1,1,41.6,2,1.3
111,3,33.8,3,34.2,5,34.5,3,35.3,4,36.3,3,36.9,3,37.2,3,38,4,39,3,39.9,3,40.1
112,3,23.9,2,24.5,3,24.8,3,24.9,3,25.0,3,25.6,3,26.4,3,26.5,3,26.5,2,2.2,3,2.7
113,1,21.8,2,22.5,,,,,3,15.0,4,15.4,4,15.4,3,15.6,3,15.6,2,3.2,3,24.5
114,2,28.4,2,28.7,2,20.7,3,29.1,3,1.9,3,29.9,3,31.0,3,31.5,3,30.5,3,31,3,31
115,2,43.2,2,43.2,3,43.4,3,43.6,3,44.8,3,44.4,3,44.5,3,46.6,3,44.5,3,47.6,3,44.7
116,3,34.5,3,35.5,3,36.0,3,36.4,3,37.7,3,37.5,3,39.1,3,39.5,2,38.8,3,38.5,3,39.6
118,,,,,,,,,,,1,-1.0,1,0.2,1,1.4,2,0.6,2,2.6,2,2.4
149,3,15.0,3,15.7,3,16.1,3,16.4,3,18.2,3,17.2,3,17.0,3,17.1,3,18.1,1,0.3,2,0.2
164,2,6.9,2,7.1,2,7.3,4,7.8,4,9.0,3,8.9,3,9.1,3,9.5,3,9.5,3,9.8,3,9.4
194,3,11.7,2,0.9,1,1.0,2,1.1,2,2.1,3,2.2,3,2.4,3,0.7,2,0.7,2,1,2,0.2
195,3,8.1,3,8.1,1,2.1,2,8.4,3,8.6,3,8.9,3,9.1,3,9.5,3,8.9,2,8,2,1.5
282,,,,,2,34.0,2,23.7,3,34.8,3,35.0,3,34.3,3,34.4,2,34.4,1,32.8,3,1.6
293,,,2,1.9,2,2.1,2,-1.0,2,1.2,2,0.2,2,,2,-1.0,2,,,,,
321,2,11.4,3,3.2,1,0.3,2,0.9,2,1.6,3,2.2,3,3.1,3,3.3,3,3.4,1,0.2,2,0.7
326,3,15.0,3,16.2,1,2.0,2,2.2,3,4.0,4,4.5,4,5.7,3,5.2,3,90,3,9.2,3,6.5
830,3,29.7,3,30.1,2,30.3,3,30.1,3,29.9,3,30.8,3,32.0,3,32.2,2,33.3,3,29.7,,
831,3,29.7,2,30.5,2,31.0,2,30.9,3,32.2,3,31.0,3,31.0,3,31.3,3,31.4,3,31.5,3,31.4
832,5,6.9,5,7.5,2,8.3,3,7.8,2,8.9,2,9.2,3,9.8,3,10.6,3,11.8,3,12.9,3,13.5
833,5,10.7,2,10.9,1,4.6,1,0.6,2,1.2,2,1.5,2,1.7,3,1.9,3,1.9,3,2,2,0.8
837,2,2.0,2,1.1,2,1.1,2,-1.0,2,1.2,2,2.2,2,2.6,2,0.2,2,0.2,,,,
839,2,5.1,2,7.4,3,7.5,2,-1.0,3,9.4,3,9.8,3,10.5,3,11.9,3,11.9,3,12.2,3,12.7
4015,2,0.7,2,1.0,1,1.0,2,1.8,2,1.6,1,1.1,1,1.5,2,1.7,2,2.3,2,-1,2,-1
4058.2,5,4.6,5,4.9,5,5.0,2,5.3,2,5.5,3,6.0,2,6.0,2,-1.0,,,0,,,
4059.2,5,8.6,2,8.8,2,3.4,2,8.9,2,8.8,2,0.7,2,,2,-1,2,,0,,,
4060.2,2,2.8,2,3.1,5,3.0,4,3.4,2,-1.0,1,0.4,2,0.6,3,0.6,1,0.5,2,-1,2,89
5058,5,1.1,2,1.2,5,1.6,5,1.5,2,2.0,2,2.8,2,2.3,2,,3,0.3,,,0,
5062,5,1.3,5,1.7,5,2.0,5,2.3,2,3.0,2,3.0,2,0.8,2,0.7,2,0.2,2,0.2,2,0.1
114A,,,,,,,,,,,3,2.5,3,2.7,3,4.2,,,2,2,,
6,3,46.5,3,47.0,3,47.0,2,47.0,3,48.4,3,47.5,3,48.7,3,47.9,3,49.2,3,49.2,3,49.1
8,,,,,3,20.9,4,20.6,3,20.7,3,20.7,3,20.2,3,1.1,2,1.4,2,1.4,2,0.7
9,3,25.9,3,26.8,3,26.8,4,26.8,3,27.1,3,27.1,3,27.9,3,27.5,3,29.4,3,46.9,3,27.3
12,3,33.8,3,35.6,3,35.6,4,37.5,3,35.9,3,35.5,3,35.4,3,35.9,3,36.8,4,36.8,3,36.9
13,3,36.1,3,37.5,3,37.1,2,35.4,3,38.7,3,38.8,3,38.5,3,38,4,39.1,4,39.1,4,39.2
14,2,0.8,2,1.5,2,0.3,2,2.0,2,2.3,2,2.3,2,2.3,2,2.8,2,0.2,2,0.2,2,0.6
15,3,38.1,3,39.1,3,39.8,3,39.6,3,40.6,3,40.8,3,41.0,3,41.5,3,41.7,4,42.5,4,42.6
17,3,36.6,3,37.2,4,38.5,4,38.5,3,39.8,2,39.3,3,40.1,3,40.2,3,41.9,3,41.6,4,41.2
45,,,,,,,1,-1.0,1,-1.0,1,-1.0,1,,1,-1.0,1,-1.0,0,,1,-1
51,1,23.1,2,2.4,2,2.5,1,1.3,2,2.7,3,2.0,3,2.1,3,1.9,3,2,1,-1,2,-1
74,2,2.5,2,2.4,1,0.3,2,1.1,2,1.4,2,1.7,2,1.9,3,1.9,2,1.9,2,2.2,2,2
75,3,38.9,3,39.5,3,39.7,3,39.9,3,40.9,3,40.7,3,41.0,3,41.2,3,41.5,4,42.3,4,42.3
97,3,24.9,3,25.0,4,24.8,2,25.0,3,25.9,3,25.0,3,25.0,3,24.6,3,24.7,3,2.6,2,2.6
98,3,13.2,3,14.2,4,14.6,3,15.5,3,16.6,3,16.7,3,17.1,3,17.2,3,17.6,3,18,3,18
160,2,1.2,2,0.6,1,0.3,1,0.7,0,,1,-1.0,,,,,,,,,,
187,3,35.6,3,35.6,3,36.4,2,35.8,3,36.3,3,36.0,3,36.5,3,36.7,3,36.8,4,36.7,4,36.6
281,,,,,3,8.4,3,2.1,3,2.4,3,2.5,3,2.6,3,2.7,3,2.8,2,-1,2,1
328,3,7.6,3,8.7,2,9.7,3,10.0,3,11.8,3,11.0,3,11.0,3,11.1,3,10.5,1,2,2,2.1
330,3,8.4,3,6.6,2,8.9,3,8.9,3,9.1,2,2.0,2,0.4,3,1.6,2,0.2,1,-1,1,-1
4018,3,3.3,3,2.6,3,3.3,3,2.0,2,2.6,2,3.9,3,3.0,3,3.1,3,3.4,3,3.6,3,3.4
4055.3,,,3,4.0,4,3.9,4,4.6,3,6.8,3,7.2,3,7.8,3,8.1,3,8,2,8.8,2,8.3
4056.3,5,2.5,5,2.9,2,4.1,2,3.1,2,0.6,2,0.9,2,1.0,2,0.5,3,1,2,-1,2,0.2
4123,5,2.8,5,2.9,5,3.0,2,-1.0,2,-1.0,1,-1.0,2,,3,-1.0,2,,2,-1,2,-1
5026,5,0.4,5,0.4,5,0.3,5,0.8,3,2.0,2,1.0,3,1.0,3,1.2,3,2.2,2,1,2,-1
5027,5,0.9,5,0.9,5,0.3,5,1.1,1,1.4,1,1.1,2,1.5,2,0.4,2,0.8,2,0.8,2,0.7
5028,2,0.4,2,0.5,,,2,0.9,2,1.1,1,1.5,2,1.6,1,1.7,2,2,2,98,1,-1
5029,5,0.3,5,0.4,,,5,0.6,2,0.7,2,0.7,2,0.7,2,-1.0,2,,1,-1,2,-1
5060,5,0.6,5,0.7,2,,2,-1.0,1,0.9,1,0.8,2,1.0,3,1.1,2,1.2,0,,0,
5108,,,5,0.2,,,5,0.6,2,0.8,2,0.3,2,0.4,3,-1.0,2,0.2,1,-1,,
5109,,,5,0.2,,,5,0.9,2,0.3,2,0.2,2,0.3,1,-1.0,2,,,,,
7A,3,15.0,3,15.7,,,3,16.5,3,17.2,3,17.5,3,17.7,3,21.3,3,20,3,19.7,3,19.7
7B,3,8.6,3,9.6,,,2,2.0,2,2.9,3,3.0,2,3.0,3,0.5,3,0.9,2,-1,2,-1
22,3,32.5,3,32.5,3,32.7,3,32.2,3,32.9,3,32.7,2,2.1,3,2.1,3,2.4,1,1.4,2,-1
24,3,26.9,3,27.6,3,27.4,2,0.4,3,26.7,3,26.4,1,,4,27.4,3,26.5,0,,0,
26,3,35.8,3,35.6,3,35.9,3,35.9,3,42.0,3,34.2,3,2.6,3,2.7,3,3,2,1,1,-1
27,3,29.8,3,57.8,3,30.0,3,30.0,3,30.0,3,30.5,3,30.9,4,30.6,3,31.7,3,32,3,31.7
40,3,55.4,3,54.8,3,57.1,3,56.9,3,57.6,3,57.6,3,57.9,3,56.6,3,56.9,3,56.9,4,57.6
46,2,2.3,3,2.7,4,3.1,3,3.3,2,3.5,3,3.5,2,1.8,2,1.9,2,1.3,2,-1,0,
56,3,29.1,3,29.4,,,,,3,30.6,3,30.0,3,29.6,3,31,2,49.7,,,,
189,2,1.8,2,2.3,2,3.2,3,2.8,2,0.3,2,0.5,2,0.6,2,0.6,2,-1,1,-1,2,0.2
192,3,36.6,3,36.6,3,36.7,2,36.7,3,37.8,3,37.0,3,37.6,3,37.2,2,38.1,3,-1,3,37
305,2,40.1,3,40.8,3,41.2,3,41.9,3,41.0,3,41.2,3,42.2,3,40.9,2,41.4,3,40.8,3,41
307,3,30.2,3,30.4,,,2,1.7,2,0.5,1,0.2,2,0.6,,,1,,0,,0,
308,,,,,,,3,21.4,3,22.8,3,22.0,3,22.6,3,23.3,3,22.8,3,23.3,3,22.9
530,3,9.4,3,10.0,3,10.1,3,10.4,3,11.5,3,11.5,3,11.6,4,11.8,3,11.9,2,0.9,2,0.2
885,2,20.3,3,20.7,2,20.7,3,20.9,3,20.7,3,21.8,3,21.0,3,26,3,2.7,2,1,2,1.2
5030,3,1.5,2,2.1,,,3,2.4,3,2.7,2,2.8,3,3.0,3,3.1,3,3.1,2,-1,2,0.2
161,2,0.8,2,0.9,2,0.3,2,0.4,2,0.4,2,0.5,2,0.4,2,0.6,2,0.5,1,-1,1,-1
359,3,15.0,2,3.1,2,2.0,2,1.0,3,2.4,1,2.7,2,3.2,2,0.9,2,3.2,2,2,2,2
360,3,62.2,3,63.8,2,64.1,2,63.5,3,2.4,2,2.0,2,2.0,3,2.2,3,2.5,2,0.2,0,
361,2,71.1,3,73.1,3,75.0,3,73.0,3,8.6,4,9.0,3,8.9,3,2.8,2,3.3,2,2.1,2,3.1
363,3,20.1,3,19.8,2,2.0,2,1.7,3,1.7,1,2.0,1,0.4,2,0.6,1,0.6,2,1,2,-1
364,2,41.7,2,42.6,2,42.7,3,42.5,3,34.1,3,43.0,3,43.2,3,2.8,2,3,,,2,1.5
365,3,12.4,3,12.6,2,1.0,2,0.8,2,1.0,2,1.0,1,0.3,2,0.5,2,0.5,2,0.2,2,0.2
684,5,22.4,5,23.5,2,23.8,3,24.1,3,25.0,3,24.9,3,25.1,3,26,3,24.8,2,2.3,2,2.3
685,2,18.8,5,19.1,3,19.6,3,19.9,3,20.4,3,19.8,3,20.5,3,22.5,3,20.5,2,3.5,3,3.7
686,5,7.4,5,7.7,5,8.0,3,8.0,3,8.8,3,9.2,3,9.1,3,9.5,3,9.8,2,1.2,2,1.2
687,2,23.4,3,25.1,3,25.7,3,25.9,3,26.8,3,27.2,3,27.5,3,27.7,3,28.5,3,29.1,1,-1
689,5,7.1,4,7.7,2,0.2,2,-1.0,2,0.9,1,1.1,2,1.2,2,,2,0.6,2,1.3,1,-1
690,2,11.4,2,11.7,2,3.0,2,3.1,2,1.2,2,0.6,2,1.6,2,2.2,2,1.9,2,3.5,2,0.5
691,2,14.5,2,14.9,2,15.0,1,-1.0,2,2.0,2,1.8,3,2.0,3,3.1,2,3.3,2,1.5,2,1.9
